ADDRESS,SUBURB,PRICE,BEDROOMS,BATHROOMS,GARAGE,LAND_AREA,FLOOR_AREA,BUILD_YEAR,CBD_DIST,NEAREST_STN,NEAREST_STN_DIST,DATE_SOLD,POSTCODE,LATITUDE,LONGITUDE,NEAREST_SCH,NEAREST_SCH_DIST,NEAREST_SCH_RANK
1 Acorn Place,South Lake,565000,4,2,2,600,160,2003,18300,Cockburn Central Station,1800,"09-2018",6164,-32.1159,115.84245,LAKELAND SENIOR HIGH SCHOOL,0.8283385518162787,
1 Addis Way,Wandi,365000,3,2,2,351,139,2013,26900,Kwinana Station,4900,"02-2019",6167,-32.19347028,115.8595535,ATWELL COLLEGE,5.524324354371822,129
1 Ainsley Court,Camillo,287000,3,1,1,719,86,1979,22600,Challis Station,1900,"06-2015",6111,-32.12057813,115.993579,KELMSCOTT SENIOR HIGH SCHOOL,1.649178183366986,113
1 Albert Street,Bellevue,255000,2,1,2,651,59,1953,17900,Midland Station,3600,"07-2018",6056,-31.90054675,116.0380088,SWAN VIEW SENIOR HIGH SCHOOL,1.5714009366124688,
1 Aman Place,Lockridge,325000,4,1,2,466,131,1998,11200,Bassendean Station,2000,"11-2016",6054,-31.88579,115.94778,KIARA COLLEGE,1.5149216294528034,
1 Amethyst Crescent,Mount Richon,409000,4,2,1,759,118,1991,27300,Armadale Station,1000,"03-2013",6112,-32.1538014,116.0236578,ARMADALE SENIOR HIGH SCHOOL,1.227219194399204,
1 Ardara Lane,Hilbert,400000,3,2,2,386,132,2014,28200,Armadale Station,3700,"05-2016",6112,-32.17997786,115.9886473,DALE CHRISTIAN SCHOOL,2.4857308570632237,
1 Arnside Bend,Waikiki,370000,4,2,2,468,158,2013,41700,Warnbro Station,1100,"03-2019",6169,-32.31766224,115.7619682,SOUTH COAST BAPTIST COLLEGE,0.4915731383363828,
1 Arrochar Court,Hamersley,565000,4,2,3,875,168,1983,12100,Warwick Station,2500,"06-2020",6022,-31.84775987,115.8227005,WARWICK SENIOR HIGH SCHOOL,1.2219275931111657,
1 Arundel Street,Bayswater,685000,3,2,8,552,126,1999,5900,Bayswater Station,508,"10-2019",6053,-31.91788,115.90705,CHISHOLM CATHOLIC COLLEGE,0.936243264888652,29
1 Ash Road,Carmel,675000,4,2,6,2538,241,1977,22900,Madding,10700,"07-2014",6076,-32.01574,116.08891,CARMEL ADVENTIST COLLEGE,0.49640075947957873,
1 Ashcott Gate,Butler,367500,3,2,2,398,158,2003,36300,Butler Station,2100,"11-2018",6036,-31.65428,115.7022,BUTLER COLLEGE,0.6808433268155856,39
1 Ashcroft Way,Balga,300000,3,2,2,243,94,2008,11500,Warwick Station,4800,"12-2019",6061,-31.84964681,115.846314,BALGA SENIOR HIGH SCHOOL,0.18935031371595695,
1 Ashendon Boulevard,Hammond Park,535000,4,2,4,704,247,2002,23100,Cockburn Central Station,3900,"07-2019",6164,-32.15959,115.84948,ATWELL COLLEGE,2.2206426655498723,129
1 Ashtree Boulevard,Wattle Grove,540000,4,2,2,614,186,2004,13100,Madding,5100,"05-2018",6107,-32.00294817,115.9836459,REHOBOTH CHRISTIAN COLLEGE,3.2343986089606025,
1 August Court,Bull Creek,685000,3,2,3,706,196,1985,12500,Murdoch Station,961,"11-2017",6149,-32.06458,115.86046,LEEMING SENIOR HIGH SCHOOL,1.1833626029374116,89
1 Avonlea Place,Bullsbrook,350000,4,2,2,663,154,1994,36700,Midland Station,26000,"11-2017",6084,-31.66068818,116.0407159,HOLY CROSS COLLEGE,14.013548390601853,98
1 Babbler Court,Maida Vale,570000,4,2,2,568,225,2003,15300,Midland Station,7000,"10-2020",6057,-31.95242,116.0207,DARLING RANGE SPORTS COLLEGE,2.746772139797852,137
1 Balga Place,Koongamia,318000,2,1,3,751,90,1959,18100,Midland Station,4100,"05-2013",6056,-31.90409,116.04213,SWAN VIEW SENIOR HIGH SCHOOL,1.8592465386914538,
1 Bamlett Street,Mount Nasura,379000,3,2,3,785,167,1977,25400,Challis Station,1300,"08-2017",6112,-32.13247,116.0242,SOWILO COMMUNITY HIGH SCHOOL,1.3641957547366643,
1 Banken Court,Forrestdale,387500,4,1,1,782,111,1981,23300,Armadale Station,6600,"04-2017",6112,-32.14885,115.94308,CAREY BAPTIST COLLEGE,4.204627996200461,62
1 Barcroft Court,Atwell,465000,4,2,2,450,173,2000,20700,Cockburn Central Station,1600,"08-2017",6164,-32.13768,115.86697,ATWELL COLLEGE,0.7471080892276758,129
1 Bates Loop,Lockridge,325000,3,1,1,421,93,1972,11800,Success Hill Station,1900,"08-2014",6054,-31.88355668,115.9542319,KIARA COLLEGE,1.9305049817927362,
1 Batoni Way,Ashby,515000,3,2,2,388,160,2007,25000,Joondalup Station,3300,"09-2014",6065,-31.7328966,115.7996371,WANNEROO SECONDARY COLLEGE,3.1414449090090066,131
1 Bayley Street,Woodbridge,610000,3,1,1,550,121,1920,14600,Woodbridge Station,275,"04-2013",6056,-31.88948,115.99427,GOVERNOR STIRLING SENIOR HIGH SCHOOL,0.5195732638053656,130
1 Beach Street,Bicton,1950000,5,2,2,855,305,1981,10800,North Fremantle Station,2900,"10-2018",6157,-32.02366,115.78189,SANTA MARIA COLLEGE,1.4288256583640708,10
1 Beacon Way,Singleton,420000,4,2,2,600,295,2006,54500,Mandurah Station,10400,"01-2015",6175,-32.434584,115.758448,COMET BAY COLLEGE,2.1320305200513947,35
1 Beenan Elbow,South Guildford,347500,3,1,3,452,88,NULL,13100,East Guildford Station,1400,"08-2018",6055,-31.90698,115.98698,GUILDFORD GRAMMAR SCHOOL,1.5178108452820758,52
1 Belfry Way,Wattle Grove,492000,4,2,2,459,250,2012,14100,Madding,5100,"11-2017",6107,-32.00415385,115.9949594,HERITAGE COLLEGE PERTH,3.374077197496846,
1 Bell Court,Armadale,201000,3,1,2,711,99,1985,27500,Armadale Station,1300,"02-2019",6112,-32.164115,116.0083927,ARMADALE SENIOR HIGH SCHOOL,0.6307358201923885,
1 Bellata Place,Kenwick,275000,3,1,1,570,108,1996,15500,Madding,1900,"04-2018",6107,-32.03406,115.99137,REHOBOTH CHRISTIAN COLLEGE,1.296626334289668,
1 Bellier Place,Hamilton Hill,410000,4,2,1,808,155,1983,16700,Fremantle Station,5800,"12-2019",6163,-32.08948,115.78811,PORT SCHOOL,1.1739829467976741,
1 Belmont Close,Port Kennedy,315000,4,2,2,550,127,1999,46800,Warnbro Station,4300,"12-2020",6172,-32.36259,115.7517,WARNBRO COMMUNITY HIGH SCHOOL,2.0167478921918076,
1 Belvedere Rise,Roleystone,795000,4,3,6,2095,254,NULL,27300,Kelmscott Station,5800,"10-2017",6111,-32.11535746,116.0748618,KELMSCOTT SENIOR HIGH SCHOOL,6.04955388249433,113
1 Benowa Drive,Glen Forrest,600000,4,2,4,2028,222,1988,24000,Midland Station,10400,"08-2015",6071,-31.91039,116.10841,HELENA COLLEGE,1.6349241820962144,78
1 Bianco Place,Secret Harbour,400000,4,2,2,672,186,2002,50400,Warnbro Station,7900,"09-2019",6173,-32.39686,115.75637,COMET BAY COLLEGE,2.1973149440264903,35
1 Bignell Place,Herne Hill,350000,3,1,2,797,177,1974,20900,Midland Station,7600,"08-2013",6056,-31.82521,116.02121,SWAN CHRISTIAN COLLEGE,3.788223562883484,93
1 Bindoon Close,Gwelup,835000,4,2,2,480,170,1998,10800,Warwick Station,2800,"06-2016",6018,-31.86994,115.79768,BALCATTA SENIOR HIGH SCHOOL,1.5090079879697609,135
1 Binnia Mews,Harrisdale,482000,4,2,2,469,152,2008,19000,Cockburn Central Station,5700,"11-2020",6112,-32.11598945,115.9173273,CAREY BAPTIST COLLEGE,1.784415085505154,62
1 Binns Court,North Fremantle,1260000,3,3,2,354,227,2000,12900,North Fremantle Station,387,"11-2016",6159,-32.02689,115.75382,IONA PRESENTATION COLLEGE,2.427821858858271,17
1 Bishops Close,Quinns Rocks,405000,3,2,4,781,156,1989,34800,Butler Station,3800,"03-2019",6030,-31.66895,115.70455,PETER MOYES ANGLICAN COMMUNITY SCHOOL,0.774913817309598,55
1 Bittern Close,Maida Vale,465000,3,2,2,620,143,2002,14800,Midland Station,7300,"07-2019",6057,-31.95549,116.01601,DARLING RANGE SPORTS COLLEGE,2.295611113645283,137
1 Blato Place,Spearwood,560000,5,2,2,592,168,1996,19800,Cockburn Central Station,7500,"12-2018",6163,-32.11658806,115.7790863,PORT SCHOOL,3.736130486068356,
1 Bohemia Way,Parkwood,380000,3,1,2,979,122,1978,11300,Thornlie Station,4400,"05-2016",6147,-32.0459,115.90519,LYNWOOD SENIOR HIGH SCHOOL,1.1228906301327497,96
1 Boncath Road,Butler,360000,3,2,2,397,130,2006,38000,Butler Station,372,"12-2020",6036,-31.638689,115.700206,BUTLER COLLEGE,1.6522015339628773,39
1 Bonita Way,Tapping,540000,4,2,2,641,221,2005,26900,Currambine Station,4800,"03-2018",6065,-31.71607737,115.7997715,JOSEPH BANKS SECONDARY COLLEGE,1.9590164130110144,92
1 Boronia Court,Thornlie,420000,3,2,2,680,163,1991,16200,Thornlie Station,3400,"06-2020",6108,-32.07705,115.94632,THORNLIE SENIOR HIGH SCHOOL,1.735659975664515,125
1 Borough Road,Baldivis,330000,4,2,2,495,171,2011,45500,Warnbro Station,5600,"12-2020",6171,-32.36170962,115.8136691,TRANBY COLLEGE,2.668401882053026,62
1 Bourke Street,Kensington,705000,3,1,6,774,132,1952,4500,Oats Street Station,3200,"10-2017",6151,-31.98792,115.88137,KENT STREET SENIOR HIGH SCHOOL,1.0932860460420561,93
